order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
3	250	0.0135	0.0271	0.008	0.188	3.851	53.5	130.7	50.4
3	250	0.0122	0.0345	0.0114	0.299	3.845	37.5	70.5	98.2
3	251	0.0131	0.0264	0.008	0.194	4.105	63.5	68.1	68.8
0	0	0	0	0	0	0	0	0	0
3	251	0.0107	0.0464	0.0165	0.469	4.156	52.6	151.5	51.7
2	16	0.014	0.0678	0.0191	0.427	4.331	52.9	2	80.9
2	16	0.0127	0.0509	0.0155	0.377	4.383	52.5	-70.6	76
2	16	0.0146	0.0815	0.0225	0.494	4.381	69.9	126.3	40
4	254	0.0111	0.0213	0.0077	0.219	4.038	60.9	-166.6	40.1
4	254	0.0107	0.0318	0.0114	0.327	4.042	53.6	-84	93.9
4	254	0.0165	0.0621	0.0172	0.385	4.052	55.7	-5.2	69.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	259	0.0125	0.098	0.0232	0.452	3.337	44.4	-142.7	72.8
0	0	0	0	0	0	0	0	0	0
3	1355	0.0141	0.0332	0.0094	0.213	6.02	24.1	-44.1	146.7
3	1355	0.0152	0.1047	0.0299	0.685	6.032	53.1	12.3	95.4
3	1355	0.0159	0.0407	0.0102	0.204	6.058	67.6	19.5	74.3
3	1355	0.0139	0.0232	0.0067	0.152	6.18	159.3	-139.3	67.2
2	266	0.018	0.0642	0.0143	0.252	6.079	27.9	-83.6	84.7
2	267	0.0127	0.0309	0.0097	0.244	6.798	45.1	-55.9	129.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	1357	0.005	0.0092	0.0073	0.468	7.267	83	146.5	61.1
4	1422	0.014	0.1174	0.0343	0.815	6.947	99.1	-113.8	32.6
2	268	0.0174	0.081	0.02	0.397	6.62	40.9	91.8	56.8
2	268	0.0146	0.0832	0.0224	0.482	6.661	21	59.4	20.5
2	270	0.0123	0.046	0.0143	0.352	6.606	36.8	-151	42
0	0	0	0	0	0	0	0	0	0
2	271	0.0137	0.0423	0.0125	0.296	6.716	48.4	133.3	43
0	0	0	0	0	0	0	0	0	0
4	278	0.0134	0.0518	0.0158	0.381	6.879	51.7	-69	24.7
0	0	0	0	0	0	0	0	0	0
4	280	0.013	0.0303	0.0093	0.228	6.932	78.6	25.9	81.8
4	280	0.0156	0.0181	0.0047	0.095	6.945	70.1	30.3	42.6
4	284	0.012	0.0119	0.004	0.106	3.649	68	-30.5	43.5
0	0	0	0	0	0	0	0	0	0
4	287	0.0154	0.043	0.0111	0.229	3.636	67.1	-177.2	54.1
0	0	0	0	0	0	0	0	0	0
5	1458	0.0136	0.0437	0.0129	0.303	3.602	111.7	-25.7	129.4
4	291	0.0176	0.0562	0.0128	0.231	3.991	77.3	-26.5	88.3
4	291	0.0117	0.0367	0.012	0.314	4.015	81.8	157.3	66
4	291	0.0128	0.0406	0.0136	0.365	4.249	51.3	-80.5	32.5
0	0	0	0	0	0	0	0	0	0
3	18	0.0172	0.2359	0.0548	1.013	4.36	111.3	30.2	101
5	308	0.0131	0.053	0.016	0.384	4.003	28.4	-169.4	55.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	315	0.0101	0.0231	0.0091	0.286	4.869	81.6	126	26.2
4	1412	0.0124	0.031	0.0111	0.316	4.683	47	-139.3	89.8
5	1460	0.0124	0.0393	0.0119	0.288	4.87	58.9	122.9	67.2
3	19	0.0103	0.0292	0.0116	0.367	4.127	117.6	136.3	86.4
3	19	0.0106	0.0565	0.018	0.464	4.193	113.8	106.3	98.8
3	19	0.0177	0.1005	0.0232	0.443	4.251	65.9	47.5	83
0	0	0	0	0	0	0	0	0	0
3	19	0.0128	0.0308	0.0096	0.238	4.686	4.1	-124.9	34.3
4	328	0.0102	0.0212	0.0083	0.26	4.113	61.3	49.6	66.7
0	0	0	0	0	0	0	0	0	0
4	332	0.0112	0.0205	0.0073	0.208	4.402	142.2	128.9	86.4
4	332	0.0101	0.0198	0.0078	0.245	4.379	115	174.8	82.7
4	332	0.0121	0.0453	0.0159	0.447	4.246	97	-176	89.2
4	332	0.0133	0.0956	0.0286	0.682	4.157	149.8	80.3	85.4
4	332	0.0124	0.09	0.0291	0.748	4.192	46.4	-107.1	125.7
0	0	0	0	0	0	0	0	0	0
3	20	0.0099	0.0914	0.0324	0.933	4.369	118.4	-60.1	106
0	0	0	0	0	0	0	0	0	0
3	20	0.0136	0.5242	0.1324	2.678	4.533	104.4	17.6	81
3	20	0.0138	0.0503	0.0165	0.437	4.516	51.6	-126.6	26.7
3	20	0.011	0.0928	0.0299	0.773	4.745	40	165.3	59.6
3	20	0.0157	0.0888	0.0238	0.51	4.654	162.4	-149	95.4
3	20	0.0133	0.1528	0.0444	1.027	4.562	42.7	163.2	62.6
4	1413	0.0133	0.0655	0.0194	0.457	3.978	155.3	124	59
4	1413	0.0125	0.1256	0.0389	0.964	3.909	57.8	114.2	63.3
0	0	0	0	0	0	0	0	0	0
4	340	0.0121	0.0125	0.0041	0.108	4.441	143.6	-173	53
4	340	0.0163	0.1454	0.0395	0.866	4.476	168.9	-123.7	53.8
4	340	0.0182	0.085	0.0186	0.325	4.476	120.3	-133.7	62.9
0	0	0	0	0	0	0	0	0	0
4	340	0.01	0.0111	0.0045	0.142	4.367	115.3	155.5	81.5
3	24	0.0126	0.0464	0.0138	0.328	4.802	47.4	-72.6	110.1
3	24	0.011	0.0826	0.0261	0.663	4.899	53.4	-77	69.9
3	24	0.0117	0.026	0.0089	0.244	4.956	70	179.9	85.5
0	0	0	0	0	0	0	0	0	0
3	24	0.0148	0.0509	0.0149	0.351	5.38	71.2	10.3	62.4
4	345	0.0199	0.1265	0.0293	0.636	4.842	149.1	-158	43.5
4	345	0.0122	0.0415	0.0139	0.372	5.009	124.1	-77	54.5
4	345	0.0155	0.0713	0.0184	0.379	4.893	71	-38	50.2
4	345	0.0142	0.1048	0.029	0.64	4.717	140.6	-92.3	74.5
4	1415	0.0135	0.037	0.0114	0.28	5.176	79.7	109.4	46.6
3	26	0.0148	0.1818	0.0491	1.054	5.375	132.9	-87.1	17.1
3	26	0.0163	0.0463	0.0114	0.222	5.155	125.8	-51.1	86.4
3	26	0.0137	0.1195	0.0379	0.959	5.01	56.9	-149	86.2
0	0	0	0	0	0	0	0	0	0
3	26	0.0139	0.0608	0.0174	0.395	5.513	116.4	-76.6	91.6
0	0	0	0	0	0	0	0	0	0
3	26	0.0128	0.0825	0.0244	0.576	5.553	93.5	45.8	3.8
3	26	0.0123	0.0864	0.0267	0.662	5.552	84.9	-7.2	44.6
3	26	0.0137	0.0655	0.0192	0.446	5.506	105.7	-146.3	51.2
4	350	0.0049	0.0061	0.005	0.32	3.941	140.8	-46.9	78
4	351	0.0163	0.2904	0.0725	1.444	4.444	173.2	64.8	123.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	357	0.0118	0.0778	0.0259	0.685	4.459	39.4	5.3	98.2
0	0	0	0	0	0	0	0	0	0
4	360	0.0163	0.1285	0.0358	0.805	4.902	47.5	-150.6	89.4
4	360	0.0289	0.2963	0.041	0.452	4.985	80.2	-151.4	78.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	1473	0.0115	0.0277	0.0097	0.268	5.239	125.5	-161.8	77.3
4	361	0.0117	0.0182	0.0062	0.17	5.453	58.8	-155	59.6
3	31	0.0138	0.0677	0.0191	0.429	5.466	69.1	30.1	64.2
0	0	0	0	0	0	0	0	0	0
3	31	0.0107	0.0447	0.0147	0.387	5.721	87	-5.6	77.3
3	31	0.0124	0.0498	0.0153	0.377	5.774	86.9	46.7	87.5
5	363	0.0071	0.0119	0.0067	0.3	5.35	69.1	-54.8	48.4
5	364	0.0134	0.0618	0.0184	0.437	5.405	160.9	94	64.7
0	0	0	0	0	0	0	0	0	0
5	364	0.0135	0.0614	0.0182	0.429	5.339	115	-38.4	144.9
5	364	0.0112	0.0327	0.0115	0.32	5.351	60.7	42.5	54.3
0	0	0	0	0	0	0	0	0	0
5	364	0.005	0.0101	0.0081	0.515	5.412	64	-81.1	112.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	367	0.005	0.0055	0.0044	0.282	5.613	93.5	84.2	103.7
6	1503	0.012	0.0593	0.0197	0.522	5.288	104.3	174.4	11.2
0	0	0	0	0	0	0	0	0	0
5	372	0.0129	0.0505	0.0157	0.387	5.078	111.7	102	22.5
0	0	0	0	0	0	0	0	0	0
5	372	0.0129	0.0768	0.0229	0.546	5.138	88.1	75	35
0	0	0	0	0	0	0	0	0	0
5	372	0.0127	0.0932	0.0284	0.69	5.113	35.9	-3.9	68.6
5	372	0.005	0.0083	0.0067	0.423	5.017	91.5	-129.6	65.1
5	372	0.0135	0.0512	0.0152	0.358	4.957	120.5	-44.1	68.7
0	0	0	0	0	0	0	0	0	0
5	373	0.0128	0.0515	0.0161	0.398	4.826	47.6	38.9	68.2
5	374	0.0139	0.1173	0.0323	0.709	5.597	62.1	-129.2	72.7
5	374	0.0167	0.1274	0.0338	0.718	5.577	51.5	45.2	25
5	374	0.0118	0.0425	0.0135	0.341	5.57	50.7	-39	38.7
5	374	0.0132	0.0812	0.0238	0.553	5.556	46.2	78.5	50.7
0	0	0	0	0	0	0	0	0	0
5	374	0.013	0.0288	0.0089	0.217	5.8	98.2	153.8	31.3
0	0	0	0	0	0	0	0	0	0
5	374	0.0118	0.0344	0.0117	0.317	5.733	89.7	-135.4	115.2
5	374	0.0125	0.0389	0.0124	0.314	5.754	79.2	-119.7	102.6
5	374	0.0126	0.0566	0.0172	0.42	5.966	58.3	-178.5	42.4
0	0	0	0	0	0	0	0	0	0
5	376	0.0117	0.0392	0.013	0.343	4.934	41.1	126.6	85.2
5	377	0.017	0.071	0.0189	0.404	5.013	77.1	14.6	70.2
5	377	0.0143	0.0567	0.0165	0.384	5.032	91.2	-41.6	67.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	1418	0.0131	0.025	0.0076	0.185	4.663	60.3	50.6	74.9
0	0	0	0	0	0	0	0	0	0
4	1418	0.0148	0.0681	0.0176	0.364	4.84	16.2	15.3	22.5
4	1418	0.0135	0.0574	0.0157	0.346	4.759	44.3	-31.8	42.2
5	381	0.015	0.1496	0.0407	0.884	4.803	139.2	-61.5	58.8
5	381	0.0138	0.0608	0.0187	0.458	4.716	79	22.2	84.7
5	381	0.0158	0.084	0.0226	0.487	4.8	59.3	-150.2	91.2
5	381	0.013	0.1525	0.0459	1.103	4.834	1.2	-124.5	101.6
5	381	0.005	0.0223	0.0178	1.135	4.523	133.1	65.9	41.5
5	381	0.0159	0.0416	0.0105	0.209	4.337	97.4	-155.7	94.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	383	0.0139	0.0233	0.0067	0.153	4.567	27.8	-106.1	57.5
4	383	0.0147	0.0924	0.0254	0.556	4.678	103.3	159.9	66.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	386	0.012	0.0201	0.0067	0.177	4.73	32.8	159.6	17.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	396	0.0108	0.0249	0.0087	0.244	4.825	63.9	62.1	94.8
5	396	0.0192	0.0571	0.0119	0.198	4.961	89.9	27.4	86.6
0	0	0	0	0	0	0	0	0	0
6	1507	0.013	0.1122	0.0319	0.726	5.589	60.3	-167.6	44
6	1507	0.0143	0.1216	0.0343	0.769	5.613	51.6	4.7	56.5
6	1507	0.0131	0.0451	0.0136	0.327	5.617	61.9	96.8	84.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	35	0.016	0.0342	0.0085	0.169	4.899	67.8	51.3	107.7
4	35	0.0129	0.0882	0.025	0.565	5.476	56.6	125	29.6
0	0	0	0	0	0	0	0	0	0
6	410	0.0171	0.0097	0.0023	0.042	5.303	162.5	-0.3	78
6	410	0.0122	0.0302	0.0099	0.26	5.228	51.7	36.2	93.3
0	0	0	0	0	0	0	0	0	0
6	410	0.0157	0.0431	0.0117	0.256	5.281	58.5	2.4	59.3
6	410	0.0143	0.0338	0.0094	0.21	5.275	45.4	70.5	93.8
6	410	0.0125	0.028	0.0097	0.269	5.394	75	172.6	68.1
6	410	0.0115	0.0588	0.0178	0.433	5.421	67.2	3.1	86.8
0	0	0	0	0	0	0	0	0	0
5	417	0.015	0.1439	0.0387	0.831	5.152	160.8	-168.3	57.9
0	0	0	0	0	0	0	0	0	0
6	1510	0.0131	0.062	0.0181	0.423	5.986	9.3	106.7	35.9
4	39	0.0192	0.1495	0.0381	0.784	5.177	43.4	153.7	79.2
0	0	0	0	0	0	0	0	0	0
4	52	0.0136	0.0793	0.0223	0.502	6.12	66.5	69.4	45.5
6	445	0.0114	0.0671	0.0167	0.334	6.491	23.1	92	46
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	1353	0.0137	0.1052	0.0251	0.495	6.286	51.9	62.1	19.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	59	0.014	0.0188	0.0054	0.123	1.926	53.8	104.8	89.2
0	0	0	0	0	0	0	0	0	0
4	474	0.0089	0.0585	0.0223	0.693	2.132	56.1	-11.5	102.2
4	474	0.0112	0.0628	0.0224	0.636	2.028	100.3	-59.9	108.5
0	0	0	0	0	0	0	0	0	0
4	474	0.015	0.0434	0.0116	0.246	2.1	57.6	-103.3	70.9
5	1423	0.0159	0.0759	0.0191	0.383	2.111	58.8	-119	170.4
0	0	0	0	0	0	0	0	0	0
6	1485	0.0101	0.0172	0.0068	0.213	2.009	120	-61.5	144.4
4	484	0.0101	0.0098	0.0039	0.122	2.167	57	-106.8	109
3	61	0.0124	0.1861	0.0556	1.339	2.259	7.7	-123.2	53.7
3	61	0.0075	0.04	0.0213	0.904	2.459	21.8	-37.8	81.3
3	61	0.0149	0.0617	0.0166	0.356	2.423	117.5	-42.5	80.5
0	0	0	0	0	0	0	0	0	0
3	61	0.0107	0.0131	0.0049	0.145	2.456	59.7	121.9	106.2
4	486	0.0115	0.0626	0.018	0.422	2.589	67.3	-110.9	74.9
4	486	0.0124	0.0308	0.0099	0.254	2.66	68.1	-121.2	82.4
4	1360	0.005	0.0118	0.0082	0.458	2.516	63.9	-100.6	57.2
4	1360	0.013	0.0411	0.0145	0.412	2.516	25.2	-66.5	33.5
0	0	0	0	0	0	0	0	0	0
3	62	0.0144	0.0855	0.0236	0.518	3.499	122.1	138.8	108.5
3	62	0.013	0.0769	0.0238	0.585	3.535	142	-126.3	101.7
3	62	0.009	0.0222	0.0092	0.307	3.53	79.6	3	55.1
3	62	0.0061	0.0074	0.0048	0.251	3.766	66.4	4.6	46.9
3	62	0.0109	0.0257	0.0094	0.272	3.79	58.9	177.1	71.1
4	1361	0.005	0.0143	0.0115	0.729	3.188	154.6	53.9	92.1
4	1361	0.0051	0.0022	0.0017	0.109	3.192	77.9	-54.1	139.2
5	1427	0.0132	0.0339	0.0102	0.246	2.158	58.8	-43.2	105.8
5	1427	0.0128	0.0414	0.013	0.324	2.078	54.1	-169.7	100.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	66	0.0126	0.0606	0.0196	0.509	1.908	47.9	-41.2	114.3
3	66	0.0141	0.2279	0.0588	1.222	1.979	39	60.2	102.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.013	0.1499	0.0428	0.976	3.23	20.8	-169.3	12.9
2	2	0.0109	0.0069	0.0025	0.074	3.435	77.9	96.5	35.6
2	2	0.0127	0.033	0.0104	0.259	3.44	50.4	-146.1	93.4
2	2	0.0121	0.0565	0.0167	0.395	3.809	44.8	-111	50.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	77	0.0144	0.1188	0.0325	0.709	2.835	103.6	-83.6	53.3
4	540	0.0125	0.1358	0.0349	0.72	2.539	139.6	126.2	127
4	540	0.0126	0.0482	0.0153	0.387	2.511	112.5	-148.7	103.7
4	540	0.0208	0.1023	0.0197	0.302	2.718	162.8	123	64.5
5	1431	0.0125	0.1129	0.0355	0.891	2.395	93.5	52.6	82.2
6	1487	0.0132	0.0556	0.0176	0.446	2.539	23.3	-155	42.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.014	0.0984	0.0282	0.642	1.812	48.5	106.6	72.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	79	0.0254	0.1625	0.0256	0.322	2.367	57	62.4	69.8
6	1489	0.0082	0.0256	0.0103	0.337	1.645	145.2	-5.7	172.6
6	1489	0.0107	0.0504	0.0195	0.601	1.648	21.2	-150	85.1
5	561	0.0056	0.0072	0.0051	0.292	1.653	72.5	145	67.4
5	561	0.0107	0.0075	0.0028	0.084	1.816	55.5	-66.3	121.1
0	0	0	0	0	0	0	0	0	0
4	569	0.0129	0.0964	0.0299	0.742	2.02	37.5	21.5	82
4	571	0.0162	0.1176	0.0289	0.567	2.045	56.4	6.9	89.6
4	572	0.0136	0.0245	0.0072	0.168	2.209	67.8	-98.5	65.4
0	0	0	0	0	0	0	0	0	0
3	90	0.0135	0.0494	0.015	0.363	3.168	43.7	-39	52.8
4	588	0.0117	0.0131	0.0045	0.123	2.944	92.9	-47.9	70.9
4	590	0.0144	0.0102	0.0028	0.063	3.014	109.8	-52	145.5
4	592	0.0122	0.0146	0.0048	0.125	3.28	73.3	-110.1	99.5
4	592	0.0111	0.0317	0.0106	0.286	3.372	60.5	-103.1	76.4
0	0	0	0	0	0	0	0	0	0
3	95	0.0111	0.0171	0.0062	0.177	3.25	11.5	-22.3	82.7
0	0	0	0	0	0	0	0	0	0
3	100	0.0168	0.2041	0.0479	0.908	3.797	143.9	24.3	62
3	100	0.0191	0.0946	0.0237	0.492	3.763	134.4	91.7	67.5
0	0	0	0	0	0	0	0	0	0
3	104	0.0116	0.0284	0.0103	0.298	4.042	47.1	-49.5	72.9
3	104	0.013	0.0628	0.0192	0.468	3.973	13.3	7.9	35.8
4	609	0.0136	0.0503	0.0149	0.35	4.57	56.5	-96.7	107.5
4	609	0.0124	0.0811	0.0248	0.61	4.155	104.7	47.5	44.8
4	617	0.0125	0.0206	0.0066	0.167	4.572	68.6	-35	55.3
4	620	0.011	0.0345	0.0103	0.248	4.759	100.5	-71.7	93.3
4	620	0.0139	0.0354	0.011	0.27	5.054	73.5	137.1	63.6
4	620	0.0156	0.1249	0.0336	0.725	4.994	34.5	-42.6	34
5	632	0.0343	0.0999	0.0117	0.108	4.57	127.1	124.3	82.3
5	632	0.0069	0.0272	0.0156	0.717	4.895	121.4	-173.9	5
4	636	0.0136	0.0752	0.0227	0.545	2.141	129.7	168.2	82.1
0	0	0	0	0	0	0	0	0	0
4	642	0.005	0.0125	0.01	0.635	2.084	19.5	106.5	101.9
4	642	0.0115	0.0199	0.0069	0.191	2.062	65.1	-144.1	4.1
4	649	0.0104	0.0209	0.008	0.245	2.926	43	-121.4	97.2
4	649	0.016	0.1251	0.0328	0.688	3.121	36.3	-76	45.8
4	649	0.0123	0.0325	0.0107	0.28	3.153	76.9	85.6	66.5
4	649	0.0112	0.0318	0.0113	0.321	3.343	62.3	46.8	65.6
3	130	0.0087	0.0388	0.0149	0.469	2.842	135.9	48.8	52.3
0	0	0	0	0	0	0	0	0	0
4	668	0.0139	0.0344	0.0099	0.226	2.65	77.4	-133.8	72.3
4	668	0.0139	0.0469	0.0132	0.295	2.67	55.4	-153.2	73.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	1387	0.0149	0.1239	0.0365	0.869	2.72	33.6	156.6	60.5
3	145	0.0073	0.007	0.0038	0.167	2.828	53.4	138.1	80.5
3	145	0.0108	0.0154	0.0057	0.167	2.876	62.3	142.6	67.4
3	147	0.0132	0.0733	0.0225	0.548	3.288	29.5	132.7	46.8
0	0	0	0	0	0	0	0	0	0
3	691	0.005	0.015	0.0068	0.263	2.425	148	134.9	151.6
3	159	0.0087	0.0144	0.0067	0.245	2.49	11.9	159.6	61.8
3	159	0.0137	0.0616	0.0175	0.398	2.453	85.6	-86	110.1
0	0	0	0	0	0	0	0	0	0
3	159	0.0122	0.0261	0.0086	0.224	2.389	52.1	87.1	119
3	159	0.0144	0.1165	0.0328	0.745	2.382	173.5	-144.7	104.6
3	159	0.0116	0.0242	0.0084	0.229	2.542	70.4	77.7	88
0	0	0	0	0	0	0	0	0	0
3	159	0.0132	0.0818	0.0222	0.489	2.32	72	70.1	72.6
0	0	0	0	0	0	0	0	0	0
4	702	0.0147	0.0157	0.0043	0.093	2.971	64.8	-169.9	42
3	705	0.0133	0.0353	0.0106	0.253	2.99	56	-31.6	80.2
2	9	0.0122	0.0308	0.0101	0.265	3.342	53.5	128.5	73
2	9	0.015	0.0579	0.0163	0.37	3.362	54.5	31.5	73.8
2	9	0.0106	0.0291	0.0107	0.311	3.428	90.6	163.5	46.8
4	716	0.0142	0.0295	0.0083	0.187	3.068	130.1	92.4	73.4
3	181	0.0083	0.0179	0.0086	0.331	3.136	35.8	-7.9	62.8
0	0	0	0	0	0	0	0	0	0
3	189	0.0134	0.0434	0.0133	0.323	3.575	48.9	-106.9	34.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	737	0.011	0.0159	0.0058	0.167	4.046	70.3	-130.1	60
3	737	0.0103	0.024	0.0093	0.29	3.894	67.3	-177.3	47
0	0	0	0	0	0	0	0	0	0
3	737	0.0124	0.0825	0.0265	0.679	4.189	138.1	54.5	73.5
3	740	0.012	0.0247	0.0082	0.217	3.877	79	38.1	56.7
0	0	0	0	0	0	0	0	0	0
3	741	0.0119	0.0343	0.0116	0.321	3.852	59	-25.8	58.8
3	741	0.0102	0.0145	0.0057	0.177	3.995	89.1	172.5	50.3
3	742	0.0103	0.0237	0.0092	0.281	4.066	71.8	2	65.6
0	0	0	0	0	0	0	0	0	0
2	11	0.0133	0.0283	0.0085	0.204	2.448	61.3	27.1	114.4
2	11	0.0119	0.0702	0.0227	0.585	2.462	49.4	134.2	71.7
2	11	0.0115	0.0793	0.0268	0.731	2.441	46.3	46.6	51.9
0	0	0	0	0	0	0	0	0	0
4	747	0.0158	0.0661	0.0167	0.337	3.313	79.1	-69.1	51.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	220	0.0121	0.0922	0.0286	0.708	3.463	77.1	47.1	77.8
3	220	0.0139	0.1113	0.023	0.402	3.464	43.2	7.9	85.3
3	220	0.0109	0.0173	0.0064	0.188	3.44	60.2	-63.6	35.4
3	220	0.0112	0.1226	0.0442	1.27	3.508	158.2	38.2	91.1
0	0	0	0	0	0	0	0	0	0
4	765	0.0128	0.0655	0.0199	0.484	3.08	56.1	37.6	154.6
4	765	0.0133	0.078	0.0227	0.531	3.089	71.2	81.7	33.3
5	1452	0.0139	0.0509	0.0156	0.381	2.973	98	23.7	79.1
3	228	0.005	0.0096	0.0077	0.489	3.825	16.5	136	33.9
3	228	0.0108	0.0185	0.0069	0.202	3.578	87.8	-104.8	63.8
0	0	0	0	0	0	0	0	0	0
3	228	0.0143	0.0426	0.0121	0.276	3.618	90.5	8.4	64.6
3	228	0.0119	0.0424	0.0136	0.346	3.576	51.3	168	83.6
3	228	0.0141	0.0628	0.0173	0.383	3.873	44.2	135.6	62.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	231	0.0104	0.0409	0.0157	0.48	3.833	59.7	-11.3	86.8
0	0	0	0	0	0	0	0	0	0
3	231	0.0148	0.1695	0.0459	0.99	4.289	155.1	-100.2	133.2
3	231	0.0142	0.0888	0.0248	0.552	4.216	67.2	157.6	133.6
3	231	0.0117	0.0872	0.0292	0.782	4.045	114.7	-71.3	111.4
3	231	0.0122	0.0771	0.0241	0.603	4.215	96.9	170.3	87.2
4	771	0.0125	0.1062	0.0319	0.766	3.543	132.6	9.8	111.7
0	0	0	0	0	0	0	0	0	0
5	772	0.013	0.0203	0.0062	0.153	3.953	81.9	2.8	58.3
5	1454	0.0115	0.026	0.009	0.249	3.956	74	-121.9	57
5	1454	0.0101	0.0217	0.0086	0.273	3.946	47.4	142	81.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	247	0.0139	0.0385	0.011	0.252	3.838	91.8	-3.5	83.4
3	247	0.0137	0.0334	0.0098	0.227	3.746	37.7	-171.2	113.4
4	785	0.0157	0.0479	0.0142	0.342	3.893	66.4	130.2	63.5
3	1351	0.0115	0.0479	0.0142	0.34	4.238	62.5	165.1	74.5
3	1351	0.0121	0.0608	0.0194	0.496	4.27	51	91.8	68.3
3	1351	0.0129	0.0799	0.0234	0.547	4.338	73.6	28.4	63.4
0	0	0	0	0	0	0	0	0	0
4	810	0.005	0.0019	0.0015	0.095	7.14	119	83.4	103.6
0	0	0	0	0	0	0	0	0	0
4	287	0.0103	0.0593	0.0185	0.482	3.657	73.1	-24.6	73.4
4	287	0.0122	0.0129	0.0057	0.223	3.808	75.8	173.1	61.4
3	18	0.0125	0.038	0.0129	0.36	4.267	125	155.6	69.7
3	18	0.0139	0.1202	0.0323	0.694	4.163	97.5	134.1	94.9
3	18	0.0135	0.0299	0.0088	0.208	4.02	136.7	-129.3	85
0	0	0	0	0	0	0	0	0	0
3	18	0.0145	0.1676	0.0474	1.074	3.9	55.3	48.2	64.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	18	0.0136	0.1104	0.0323	0.752	4.818	170.4	129.1	163
4	831	0.013	0.0283	0.0087	0.212	4.352	98.6	132.4	137.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	315	0.0101	0.0323	0.0118	0.343	4.495	49.8	167.2	67.7
0	0	0	0	0	0	0	0	0	0
5	315	0.0101	0.0271	0.0107	0.335	4.761	47	154	73.2
4	853	0.0118	0.0228	0.0078	0.21	4.969	13	33.6	57.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	855	0.0135	0.0471	0.014	0.331	4.96	37.8	139.4	72.4
0	0	0	0	0	0	0	0	0	0
3	20	0.0133	0.0546	0.0155	0.35	5.298	64.5	-33.1	46.3
3	20	0.0122	0.0641	0.0194	0.47	5.327	72.6	-138.8	45.5
3	20	0.012	0.0621	0.0201	0.52	5.35	37.6	56.7	37.3
4	1413	0.0117	0.0362	0.0119	0.312	4.125	43.3	9.5	19.7
3	24	0.0144	0.0697	0.019	0.413	5.774	55.4	-163.7	49
4	876	0.0143	0.1134	0.0317	0.705	6.204	133.3	38.8	101.2
4	876	0.0159	0.1237	0.0325	0.683	5.952	72	143	120.8
4	878	0.0115	0.0366	0.0122	0.324	5.393	37.7	-119.9	68.3
4	878	0.0112	0.0515	0.0171	0.453	5.447	49.9	-120.7	35.9
4	878	0.012	0.0485	0.0159	0.416	5.411	51.3	147.8	50.5
5	886	0.0142	0.0686	0.0197	0.451	4.156	103.5	102.6	57.6
