order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
2	16	0.0137	0.3145	0.0762	1.519	3.492	45.2	69.1	55.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	16	0.0138	0.1513	0.0438	1.022	3.729	70.5	59.7	87.7
2	16	0.0131	0.1474	0.0418	0.974	3.811	93.4	145.9	57.2
2	16	0.0238	0.2395	0.0402	0.537	4.214	6.3	141.8	167.7
3	1351	0.012	0.1015	0.0319	0.802	3.941	63	49.2	80.6
3	1351	0.0128	0.194	0.0586	1.415	3.903	136.6	-77.3	111.2
4	1410	0.0152	0.0838	0.0228	0.495	4.303	58.1	48.7	80.3
4	1410	0.014	0.0478	0.0142	0.337	4.339	62.8	178.1	43.3
4	1410	0.0133	0.0772	0.0228	0.538	4.35	60.7	93	71.6
1	1	0.0251	0.1948	0.0311	0.394	3.23	66.9	116.7	69.8
1	1	0.0345	0.9987	0.119	1.181	3.23	81.5	149.7	80.1
1	1	0.0158	0.1279	0.034	0.725	5.3	43.7	-48.5	47.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0115	0.0991	0.032	0.832	3.813	115.3	20.5	120.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0318	0.6385	0.0998	1.402	5.798	60.9	-83.3	62
1	1	0.0152	0.6	0.1011	1.588	6.603	86.8	-40.4	88.2
1	1	0.0151	0.1708	0.0471	1.042	6.138	63.4	72	65.3
1	1	0.0168	0.1454	0.039	0.837	6.212	58.8	-157.2	53.3
1	1	0.0145	0.156	0.0425	0.93	6.205	60	136.3	55.8
1	1	0.0136	0.2088	0.0532	1.109	6.147	40.2	4.4	46.1
1	1	0.0226	0.295	0.0696	1.356	6.557	133.4	-6.9	136.5
2	17	0.0147	0.0874	0.0235	0.503	7.158	29.9	45.3	97.2
3	1352	0.019	0.1076	0.0256	0.495	7.208	151	72	38
0	0	0	0	0	0	0	0	0	0
3	1352	0.0137	0.1061	0.029	0.638	7.113	159.3	173.5	27.6
3	1352	0.0138	0.0615	0.0178	0.409	7.074	131.6	-96.1	45.8
3	1352	0.0137	0.1858	0.0516	1.142	6.439	137.5	-159.9	38.9
0	0	0	0	0	0	0	0	0	0
3	1352	0.0145	0.1146	0.0288	0.587	6.726	122	-39	30.3
3	1352	0.0131	0.0362	0.0111	0.27	6.711	95.8	81.8	61.2
3	18	0.012	0.0411	0.0137	0.361	3.402	79.9	-85.7	49
3	18	0.0093	0.0506	0.0192	0.591	3.383	36.4	-158.2	50
3	18	0.012	0.0863	0.0262	0.668	3.388	50.3	-119	45.7
3	18	0.0132	0.0405	0.0133	0.349	3.478	67.2	125.3	83.6
3	18	0.0111	0.0994	0.0252	0.533	3.543	69.3	-110.5	104.4
3	18	0.0129	0.1896	0.0518	1.162	3.556	45.9	-112.3	63
3	18	0.0181	0.1316	0.0348	0.757	3.68	75.8	94.5	56.8
3	18	0.0139	0.0328	0.0094	0.216	3.682	50.8	-128.3	87.7
3	18	0.0134	0.0281	0.0084	0.199	3.781	94.2	73.8	67.1
3	18	0.0143	0.1796	0.0487	1.056	3.805	58.7	-101.9	72.9
3	18	0.0124	0.0659	0.0206	0.514	3.904	83.9	66.9	56.2
3	18	0.0139	0.1415	0.0408	0.938	3.939	41.2	-117.1	54.4
3	18	0.0144	0.1429	0.0407	0.924	4.073	39.3	-139.8	68.5
3	18	0.0102	0.015	0.0059	0.183	4.207	64.4	-138.7	83.3
0	0	0	0	0	0	0	0	0	0
3	18	0.0125	0.0416	0.0137	0.358	4.317	67.6	-87.8	60.9
3	18	0.005	0.0017	0.0014	0.087	4.457	118.9	25.1	97.2
3	18	0.0137	0.1176	0.0339	0.777	4.254	137.1	-165.3	16.8
3	18	0.0108	0.0248	0.0091	0.268	4.157	59.1	44.3	59.9
3	18	0.012	0.0473	0.0158	0.418	4.03	6.3	100.1	33.3
3	18	0.0129	0.0599	0.0181	0.435	4.116	113.7	107.3	41.8
3	18	0.0108	0.0269	0.0093	0.257	3.976	84.2	117	71.4
0	0	0	0	0	0	0	0	0	0
3	18	0.0131	0.1335	0.0396	0.938	3.485	105	154.7	83.5
4	1412	0.0123	0.1371	0.0401	0.939	3.579	79.6	-18.5	123.2
4	1412	0.0072	0.0097	0.0054	0.242	3.529	71	-106.5	42.5
4	1412	0.0128	0.1355	0.0451	1.204	3.623	92.6	176.6	76
4	1412	0.0107	0.0374	0.014	0.418	3.65	71.5	149.2	54.1
4	1412	0.0138	0.0717	0.0215	0.511	4.099	32.5	-23	57.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	1412	0.0114	0.0373	0.0127	0.346	4.157	54.4	-58.1	58.8
4	1412	0.0107	0.1524	0.0546	1.565	4.195	89.1	101.6	104.2
4	1412	0.0107	0.0299	0.0103	0.284	4.169	56	-112	33.9
4	1412	0.0107	0.0693	0.0247	0.703	4.331	47.7	-149.1	62
4	1412	0.0105	0.0185	0.007	0.214	4.455	85	-52.4	38.4
5	1460	0.012	0.0271	0.009	0.239	4.847	55.1	-127.6	53.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	19	0.005	0.0076	0.0061	0.389	3.543	76.4	55.6	107.3
3	19	0.0166	0.2283	0.0456	0.821	4.073	148.5	-164.2	119.1
3	19	0.0098	0.0376	0.0117	0.301	3.703	47.8	-29.6	98.2
3	20	0.015	0.1739	0.0464	0.987	4.388	7.7	-175.4	121.5
3	20	0.0139	0.1176	0.0311	0.669	3.625	80.7	135	99.7
0	0	0	0	0	0	0	0	0	0
3	20	0.0115	0.2183	0.0388	0.663	3.846	80.5	-21.4	49.6
3	20	0.0162	0.0791	0.0245	0.617	3.71	62.9	109.3	92.9
3	20	0.0114	0.0627	0.0217	0.599	3.873	122.6	-46.2	85.8
3	20	0.0103	0.1934	0.0274	0.556	3.751	55.6	54	89.6
3	20	0.0134	0.3423	0.0899	1.916	5.066	150.6	178.3	163.2
3	20	0.0191	0.2356	0.0575	1.156	4.541	151.1	-179.7	148.2
3	20	0.0141	0.016	0.0045	0.103	4.142	136.2	-175.4	143.7
3	20	0.0208	0.1677	0.0396	0.788	4.774	12.1	-36.7	148.8
4	1413	0.005	0.0065	0.0052	0.333	3.945	59.2	5.5	100.1
3	23	0.0093	0.0127	0.0055	0.186	3.65	64.4	-136.1	69.4
3	23	0.0113	0.033	0.0121	0.37	3.715	60.9	62.2	30.2
4	1414	0.0132	0.0853	0.0259	0.624	4.158	80.3	-76.2	98.9
3	24	0.0126	0.18	0.0478	1.026	4.162	73.3	-25	88.7
3	24	0.0136	0.1028	0.0309	0.765	4.358	59.7	-52.9	104.2
3	24	0.0166	0.0723	0.018	0.362	4.493	83.3	176.4	71.9
3	24	0.016	0.1692	0.0391	0.736	4.52	65.1	161.6	41.9
3	24	0.0158	0.1835	0.0507	1.126	4.593	75.5	13.7	45.5
3	24	0.0252	0.4342	0.0797	1.198	5.327	145.3	-83.1	136
3	26	0.0143	0.0617	0.0172	0.381	5.655	121.4	138.8	31.8
0	0	0	0	0	0	0	0	0	0
3	29	0.0112	0.019	0.0068	0.191	3.865	49.5	-163.4	53.3
3	29	0.0123	0.0221	0.0072	0.186	3.939	33.2	-135.3	117.9
3	29	0.0215	0.2889	0.0581	0.944	4.29	171.1	39.9	129.3
3	29	0.019	0.3021	0.069	1.277	3.97	36.5	-114.3	55.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	31	0.0135	0.1214	0.0305	0.697	4.373	59	105.2	86.8
3	31	0.0161	0.1035	0.0244	0.457	4.461	125.4	-47.7	112.6
3	31	0.0114	0.5477	0.108	1.764	4.448	69.7	157.3	69
3	31	0.0138	0.3758	0.0649	0.942	4.521	75.4	40.9	109.4
3	31	0.0128	0.0673	0.0199	0.469	4.58	31.8	143.5	60.4
3	31	0.0163	0.1446	0.0379	0.794	4.54	10.4	72.8	75
3	31	0.0157	0.3355	0.0841	1.687	4.832	60.4	168.3	72.8
3	31	0.0156	0.2194	0.0568	1.182	5.395	29.7	132.5	151.5
3	31	0.0134	0.0605	0.0181	0.433	5.754	63.4	-117.4	57.3
4	1418	0.0147	0.2826	0.0701	1.418	4.958	97	149.7	68.8
4	1418	0.0162	0.3365	0.079	1.497	5.058	107.9	108	57.6
4	1418	0.0142	0.1368	0.0368	0.791	5.04	26.1	-164.7	115.7
4	1418	0.0168	0.105	0.0264	0.533	4.946	12.1	84.5	47.8
4	1418	0.0157	0.2182	0.0571	1.191	4.981	48.1	103.4	36
4	1418	0.0295	0.236	0.0485	0.87	4.964	99.5	-136.9	18.9
4	1418	0.0193	0.2949	0.0435	0.537	4.988	28.3	73.7	60.7
4	1418	0.0124	0.0217	0.007	0.179	4.993	26.5	5.2	75.9
0	0	0	0	0	0	0	0	0	0
